Home,Score
Abbottabad Falcons,139.45454545454547
Colts Cricket Club,157.55555555555554
Combined Campuses and Colleges,134.5
West Indies,135.42857142857142
Khulna Division,134.0
Basnahira Cricket Dundee,129.0
Kandurata Warriors,155.0
Knights,154.9090909090909
Khan Research Labs,131.66666666666666
Sebastianites Cricket and Athletic Club,139.0
Royal Challengers Bangalore,163.95744680851064
Khulna Royal Bengals,168.8
Deccan Chargers,153.92307692307693
Trinidad & Tobago,141.2
India A,214.0
Azad Jammu & Kashmir Region,123.0
Nevis,104.0
Uttar Pradesh,151.14285714285714
Uthura Rudras,156.0
Lions,154.02702702702703
Gujarat,153.84615384615384
Rajasthan,152.45454545454547
Sunrisers Hyderabad,149.1764705882353
National Bank of Pakistan,81.0
Kurunegala Warriors,143.5
Delhi Daredevils,155.0
State Bank of Pakistan,129.33333333333334
Nepal,132.0
Lahore Whites,162.66666666666666
Western Australia,169.875
Central Districts,165.9090909090909
KwaZulu-Natal,137.2
Larkana Region,142.0
Lahore Eagles,165.07692307692307
Duronto Rajshahi,149.4
Peshawar,140.0
Kent,157.525
Northern Cape,162.33333333333334
Montserrat,70.0
Hampshire,161.79591836734693
Bengal,154.76
St Kitts and Nevis Patriots,178.2
Barbados,120.84615384615384
Bangladesh A,166.0
Rajshahi Division,131.0
Mumbai,154.0
Kandurata,141.66666666666666
Western Province,151.5
Dhaka Gladiators,172.66666666666666
Nagenahira Nagas,77.0
Mountaineers,158.85714285714286
Tamil Union Cricket and Athletic Club,155.625
Italy,130.2
Antigua Hawksbills,106.0
Grenada,70.0
Lahore Region Blues,125.5
Centrals,117.0
Colombo Cricket Club,161.75
Khan Research Laboratories,131.66666666666666
Multan Tigers,132.125
Islamabad Leopards,135.33333333333334
Cape Cobras,155.15384615384616
Lahore Qalandars,179.0
Hyderabad Hawks,160.28571428571428
Pakistan International Airlines,139.75
Udarata Rulers,159.0
Burgher Recreation Club,132.4
Auckland,164.25714285714287
Sinhalese Sports Club,158.25
Khulna Titans,133.0
Guyana Amazon Warriors,136.06666666666666
Peshawar Region,170.0
Eastern Province,131.92307692307693
Australia,154.78787878787878
Faisalabad Wolves,149.58620689655172
Saracens Sports Club,142.5
Delhi,145.93939393939394
Sylhet Royals,126.0
Nottinghamshire,165.47058823529412
Bermuda,149.5
Tamil Nadu,172.0
Derbyshire,146.57142857142858
Prime Bank Cricket Club,149.0
Comilla Victorians,138.85714285714286
England,157.76470588235293
Rangpur Riders,137.88888888888889
Basnahira South,139.75
Karnataka,134.33333333333334
Sui Northern Gas Pipelines Limited,66.0
Tasmania,161.28571428571428
Panadura Sports Club,133.66666666666666
Dhaka Metropolis,168.5
Melbourne Renegades,142.0
Bangladesh XI,132.0
Kandurata Maroons,132.0
Northerns,129.5
Karachi Zebras,159.11111111111111
Andhra,130.69230769230768
Dhaka Division,130.0
Barisal Bulls,157.75
Jamaica,117.36363636363636
Jersey,107.0
Dolphins,157.17857142857142
Zimbabwe,161.0
Barbados Tridents,147.6153846153846
Scotland,140.6
South Western Districts,133.6
Pakistan A,189.0
Warwickshire,157.925
Karachi Kings,154.5
Ragama Cricket Club,150.625
Ireland,128.28
Madhya Pradesh,142.5909090909091
Baluchistan,217.0
Lahore Blues,136.0
Chennai Super Kings,167.34426229508196
Khyber Pakhtunkhwa,146.0
Wellington,166.35294117647058
Kings XI Punjab,169.25
Trinbago Knight Riders,170.0
Sri Lanka Army,128.5
Jharkhand,130.9
Queensland,170.14285714285714
Sydney Thunder,160.75
Hambantota Troopers,132.5
Karachi Whites,161.0
Griqualand West,138.44444444444446
Adelaide Strikers,163.11111111111111
Sri Lanka Air Force Sports Club,143.0
Police Sports Club,174.0
Free State,150.9
Barisal Division,118.0
Maharashtra,144.875
Uganda,124.0
Peshawar Zalmi,145.0
Himachal Pradesh,138.23076923076923
England Lions,149.33333333333334
Karachi Blues,169.5
Netherlands,141.07692307692307
Middlesex,150.66666666666666
Easterns (Zimbabwe),144.25
Saurashtra,144.0
Sri Lanka Ports Authority Cricket Club,117.0
Mashonaland Eagles,158.2941176470588
Canterbury,161.9
Punjab,131.8
Railways,140.92307692307693
Brisbane Heat,181.42857142857142
Northerns (Zimbabwe),198.5
Eagles,152.08333333333334
Karachi Region Blues,185.0
Lahore Region Whites,169.0
Sydney Sixers,157.54545454545453
Kenya,146.0
Bloomfield Cricket and Athletic Club,124.16666666666667
Badureliya Sports Club,155.0
Afghanistan,145.5609756097561
Sialkot Region,163.0
Islamabad,151.0
Abahani Limited,172.0
Ruhuna,150.625
Mid West Rhinos,153.42857142857142
Orissa,140.66666666666666
Barisal Burners,154.72727272727272
Kurunegala Youth Cricket Club,148.0
New Zealand,152.5
Uthura Yellows,158.0
Trinidad & Tobago Red Steel,153.8181818181818
Pakistan Television,143.0
Islamabad United,149.85714285714286
Northamptonshire,163.0810810810811
Ruhuna Royals,145.0
Federally Administered Tribal Areas,139.5
Antigua,146.0
Chittagong Kings,159.1
Guyana,139.57142857142858
Haryana,138.15
Rising Pune Supergiants,124.5
Kochi Tuskers Kerala,129.66666666666666
Odisha,146.5
Hyderabad (India),164.33333333333334
Abbottabad Region,182.66666666666666
Services,109.0
Worcestershire,168.05882352941177
Moors Sports Club,144.85714285714286
Rajasthan Royals,156.4102564102564
Galle Guardians,145.33333333333334
St Lucia Zouks,146.83333333333334
Sussex,157.33333333333334
Australia A,174.0
Combined Provinces,156.0
Zimbabwe XI,160.0
Bahawalpur Stags,149.16666666666666
Basnahira,141.66666666666666
West Indies A,122.6
Colombo Commandos,155.0
Gujarat Lions,161.0
Goa,154.9
Hobart Hurricanes,174.72727272727272
Leicestershire,156.27027027027026
Bangladesh,145.13333333333333
Somerset,180.33333333333334
Western Troopers,165.0
FATA Cheetas,140.0
Dhaka Dynamites,138.8
Stanford Superstars,140.0
Lancashire,154.05769230769232
Northern Districts,159.875
Mohammedan Sporting Club,130.0
Glamorgan,145.3548387096774
North Island,127.0
Sialkot Stallions,169.0
Sri Lanka,161.52941176470588
North West,168.88888888888889
Perth Scorchers,155.52941176470588
Wayamba,131.75
Boland,146.57142857142858
Otago,169.0
Matabeleland Tuskers,139.0
Pune Warriors,151.0
Kandy Crusaders,156.0
Mumbai Indians,166.9090909090909
Port Qasim Authority,190.0
Melbourne Stars,150.86666666666667
Quetta Gladiators,146.0
Namibia,158.0
Wayamba United,156.0
Abbottabad Rhinos,165.0
New Zealand A,227.0
Easterns,148.33333333333334
United Arab Emirates,139.08333333333334
Chilaw Marians Cricket Club,155.75
Multan Region,147.5
KwaZulu-Natal Inland,137.25
Surrey,155.7906976744186
Habib Bank Limited,139.4
South Africa,159.5185185185185
Rawalpindi Rams,163.66666666666666
Jamaica Tallawahs,151.8125
Baroda,148.71428571428572
Galle Cricket Club,109.0
Lahore Lions,159.52631578947367
Victoria,167.41666666666666
Uva Next,101.0
Titans,155.475
Kolkata Knight Riders,146.57142857142858
Border,135.7
Canada,133.58333333333334
South Australia,163.375
Pakistan,153.42105263157896
Peshawar Panthers,146.0
St Vincent,96.0
Antigua and Barbuda,153.0
Basnahira Greens,139.0
Eastern Cape,116.0
Hong Kong,129.66666666666666
Basnahira North,126.0
Yorkshire,158.0
Gloucestershire,154.63636363636363
Durham,155.37142857142857
Warriors,145.0857142857143
New South Wales,137.5
Assam,139.0
Gauteng,129.22222222222223
Lankan Cricket Club,93.0
Southern Rocks,122.0
Hyderabad Region,175.0
Bahawalpur Region,154.6
Sylhet Super Stars,112.0
Nondescripts Cricket Club,159.55555555555554
Kerala,143.0
Sri Lanka A,140.375
Essex,167.3409090909091
India,148.1818181818182
Chittagong Vikings,162.5
